post_title,sku,stock,regular_price,sale_price,whole_price,weight,product_url,low_stock_amount,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_brand,attribute_data:pa_brand,attribute_default:pa_brand,attribute:pa_gift-card-amount,attribute_data:pa_gift-card-amount,attribute_default:pa_gift-card-amount,attribute:pa_line,attribute_data:pa_line,attribute_default:pa_line,attribute:pa_number,attribute_data:pa_number,attribute_default:pa_number
Flormar Illuminating Primer Make-Up Base,F1501,3,1200,990,100,250,https://something.abc/url/data/dlkjfd/9797/edit,1,simple,rated-5,Cosmetics|Cosmetics > Makeup > Face Makeup|Cosmetics > Makeup > Face Makeup > Face Primer|Cosmetics > Makeup,,,Flormar,0|1|0,,,,,Flormar Face Primer,1|1|0,,20,2|0|0,
Flormar Perfect Coverage Liquid Concealer - 02 Ivory,F1102,2,600,579,290,,,,simple,rated-5,Cosmetics > Makeup > Face Makeup > Concealer|Cosmetics|Cosmetics > Makeup > Face Makeup|Cosmetics > Makeup,,,Flormar,0|1|0,,,,,Flormar Concealer,1|1|0,,20,2|0|0,
Flormar Perfect Coverage Liquid Concealer - 03 Light Beige,F1103,2,600,579,76,,,,simple,rated-5,Cosmetics > Makeup > Face Makeup > Concealer|Cosmetics|Cosmetics > Makeup > Face Makeup|Cosmetics > Makeup,,,Flormar,0|1|0,,,,,Flormar Concealer,1|1|0,,20,2|0|0,
Flormar Perfect Coverage Liquid Concealer - 05 Soft Beige,F1105,2,600,579,65,,,,simple,rated-5,Cosmetics > Makeup > Face Makeup > Concealer|Cosmetics|Cosmetics > Makeup > Face Makeup|Cosmetics > Makeup,,,Flormar,0|1|0,,,,,Flormar Concealer,1|1|0,,20,2|0|0,
Flormar Perfect Coverage Liquid Concealer - 10 Fair,F11010,2,600,579,653,,,,simple,rated-5,Cosmetics > Makeup > Face Makeup > Concealer|Cosmetics|Cosmetics > Makeup > Face Makeup|Cosmetics > Makeup,,,Flormar,0|1|0,,,,,Flormar Concealer,1|1|0,,20,2|0|0,
Flormar Perfect Coverage Liquid Concealer - 20 Fair Light,F11020,2,600,579,432,,,,simple,rated-5,Cosmetics > Makeup > Face Makeup > Concealer|Cosmetics|Cosmetics > Makeup > Face Makeup|Cosmetics > Makeup,,,Flormar,0|1|0,,,,,Flormar Concealer,1|1|0,,20,2|0|0,
Flormar Perfect Coverage Liquid Concealer - 50 Medium,F11050,1,600,579,,,,,simple,rated-5,Cosmetics > Makeup > Face Makeup > Concealer|Cosmetics|Cosmetics > Makeup > Face Makeup|Cosmetics > Makeup,,,Flormar,0|1|0,,,,,Flormar Concealer,1|1|0,,20,2|0|0,
Flormar Compact Powder - 89 Medium Cream,F12089,3,600,579,,,,,simple,rated-5,Cosmetics > Makeup > Face Makeup > Compact|Cosmetics|Cosmetics > Makeup > Face Makeup|Cosmetics > Makeup,,,Flormar,0|1|0,,,,,Flormar Compact Powder,1|1|0,,20,2|0|0,
Flormar Compact Powder - 91 Medium Cream Rose,F12091,3,600,579,,,,,simple,rated-5,Cosmetics > Makeup > Face Makeup > Compact|Cosmetics|Cosmetics > Makeup > Face Makeup|Cosmetics > Makeup,,,Flormar,0|1|0,,,,,Flormar Compact Powder,1|1|0,,20,2|0|0,
Flormar Compact Powder - 92 Medium Soft Peach,F12092,2,600,579,,,,,simple,rated-5,Cosmetics > Makeup > Face Makeup > Compact|Cosmetics|Cosmetics > Makeup > Face Makeup|Cosmetics > Makeup,,,Flormar,0|1|0,,,,,Flormar Compact Powder,1|1|0,,20,2|0|0,
Flormar Compact Powder - 93 Natural Coral Beige,F12093,2,600,579,,,,,simple,rated-5,Cosmetics > Makeup > Face Makeup > Compact|Cosmetics|Cosmetics > Makeup > Face Makeup|Cosmetics > Makeup,,,Flormar,0|1|0,,,,,Flormar Compact Powder,1|1|0,,20,2|0|0,
Flormar Compact Powder - 98 Medium Natural Beige,F12098,1,600,579,,,,,simple,rated-5,Cosmetics > Makeup > Face Makeup > Compact|Cosmetics|Cosmetics > Makeup > Face Makeup|Cosmetics > Makeup,,,Flormar,0|1|0,,,,,Flormar Compact Powder,1|1|0,,20,2|0|0,
Flormar Bronzing Powder - 02 Rose Gold,F1302,2,900,859,,,,,simple,rated-5,Cosmetics > Makeup > Face Makeup > Bronzer|Cosmetics|Cosmetics > Makeup > Face Makeup|Cosmetics > Makeup,,,Flormar,0|1|0,,,,,Flormar Bronzer,1|1|0,,20,2|0|0,
Flormar Bronzing Powder - 03 Copper Bronze,F1303,2,900,859,,,,,simple,rated-5,Cosmetics > Makeup > Face Makeup > Bronzer|Cosmetics|Cosmetics > Makeup > Face Makeup|Cosmetics > Makeup,,,Flormar,0|1|0,,,,,Flormar Bronzer,1|1|0,,20,2|0|0,
Flormar Bronzing Powder - 06 Amber,F1306,2,900,859,,,,,simple,rated-5,Cosmetics > Makeup > Face Makeup > Bronzer|Cosmetics|Cosmetics > Makeup > Face Makeup|Cosmetics > Makeup,,,Flormar,0|1|0,,,,,Flormar Bronzer,1|1|0,,20,2|0|0,
L.A. Girl Pro. Conceal Hd Concealer - Gc972 Natural,F160972,2,420,399,,,,,simple,rated-5,Cosmetics > Makeup > Face Makeup > Concealer|Cosmetics|Cosmetics > Makeup > Face Makeup|Cosmetics > Makeup,,,L.A. Girl,0|1|0,,,,,L.A. Girl Concealer,1|1|0,,20,2|0|0,
L.A. Girl Pro. Conceal Hd Concealer - Gc982 Warm Honey,F160982,3,420,399,,,,,simple,rated-5,Cosmetics > Makeup > Face Makeup > Concealer|Cosmetics|Cosmetics > Makeup > Face Makeup|Cosmetics > Makeup,,,L.A. Girl,0|1|0,,,,,L.A. Girl Concealer,1|1|0,,20,2|0|0,
Wet n Wild Photo Focus Foundation - E365C Soft Beige,F170365,5,750,549,,,,,simple,rated-5,Cosmetics|Cosmetics > Makeup > Face Makeup|Cosmetics > Makeup > Face Makeup > Foundation|Cosmetics > Makeup,,,Wet n Wild,0|1|0,,,,,Wet n Wild Foundation,1|1|0,,20,2|0|0,
Wet n Wild Photo Focus Foundation - E368C Golden Beige,F170368,12,750,549,,,,,simple,rated-5,Cosmetics|Cosmetics > Makeup > Face Makeup|Cosmetics > Makeup > Face Makeup > Foundation|Cosmetics > Makeup,,,Wet n Wild,0|1|0,,,,,Wet n Wild Foundation,1|1|0,,20,2|0|0,
Wet n Wild Photo Focus Foundation - E370C Bronze Beige,F170370,4,750,549,,,,,simple,rated-5,Cosmetics|Cosmetics > Makeup > Face Makeup|Cosmetics > Makeup > Face Makeup > Foundation|Cosmetics > Makeup,,,Wet n Wild,0|1|0,,,,,Wet n Wild Foundation,1|1|0,,20,2|0|0,
Wet n Wild Photo Focus Foundation - E372C Desert Beige,F170372,3,750,549,,,,,simple,rated-5,Cosmetics|Cosmetics > Makeup > Face Makeup|Cosmetics > Makeup > Face Makeup > Foundation|Cosmetics > Makeup,,,Wet n Wild,0|1|0,,,,,Wet n Wild Foundation,1|1|0,,20,2|0|0,
